rainfall_mm,temperature_c,soil_ph,soil_moisture_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_mm,sunlight_hours,humidity_pct,yield_ton_ha
620,27.2,6.4,29,95,48,42,190,7.3,69,4.76
710,26.1,6.6,31,120,58,63,240,7.8,64,5.73
540,29.0,6.1,24,80,39,35,170,6.9,72,4.10
810,25.4,6.8,36,140,70,72,280,8.2,60,6.45
470,31.2,5.9,21,75,33,30,150,6.2,78,3.58
690,27.0,6.5,30,110,55,58,220,7.5,66,5.41
760,24.9,6.7,34,130,64,67,260,8.0,62,6.08
580,28.3,6.2,26,92,45,40,200,7.0,71,4.62
640,26.7,6.5,29,104,52,50,210,7.4,67,5.09
830,25.1,6.9,37,150,74,78,300,8.4,58,6.83
520,30.4,6.0,23,82,37,34,160,6.5,76,3.89
700,26.3,6.6,32,118,60,61,235,7.7,65,5.67
610,27.6,6.3,28,98,49,44,195,7.2,68,4.88
745,25.8,6.7,35,136,66,69,270,8.1,61,6.21
560,28.8,6.1,25,86,41,36,175,6.8,73,4.28
675,26.9,6.4,30,112,56,57,225,7.6,66,5.37
790,25.3,6.8,36,144,71,74,285,8.3,59,6.52
495,30.8,5.8,22,78,35,32,155,6.4,77,3.72
720,26.0,6.6,33,124,61,64,245,7.9,64,5.88
600,27.8,6.3,27,96,47,43,185,7.1,70,4.74
840,24.8,6.9,38,152,76,80,310,8.5,57,6.92
550,29.3,6.0,24,84,38,35,165,6.7,74,4.02
705,26.2,6.6,32,121,59,62,238,7.8,65,5.75
630,27.1,6.4,29,101,50,46,205,7.3,68,4.99
770,25.5,6.7,35,138,67,70,275,8.1,60,6.27
585,28.5,6.2,26,90,44,39,198,7.0,72,4.56
655,26.8,6.5,30,108,54,55,218,7.5,67,5.23
815,25.0,6.8,37,148,73,76,295,8.4,58,6.71
510,30.1,5.9,23,79,36,33,158,6.5,76,3.81
735,25.9,6.7,34,132,65,68,265,8.0,62,6.03
570,28.9,6.1,25,87,42,37,178,6.8,73,4.34
680,26.6,6.5,31,114,57,59,228,7.6,66,5.46
785,25.2,6.8,36,142,69,73,282,8.2,59,6.41
500,31.0,5.8,22,77,34,31,152,6.3,78,3.65
715,26.1,6.6,33,123,62,65,248,7.9,64,5.92
605,27.7,6.3,27,97,48,45,188,7.1,70,4.79
845,24.7,6.9,38,154,77,81,315,8.6,57,7.01
545,29.5,6.0,24,83,39,34,168,6.7,75,4.08
698,26.4,6.6,32,119,60,63,236,7.8,65,5.70
625,27.3,6.4,28,100,51,47,202,7.3,69,4.95
